CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
1,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Sólo una parte,Insuficiente,Menos de 5 meses,Juega un papel importante,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,3,6,7,3,4,6,Mucho,,Mucho,,Menciona,,Menciona,,Menciona,Menciona,,,,,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Sin influencia,Positivamente,Sin influencia,Positivamente,Positivamente,Sí,A favor,4,Mujer,Casado,1 Hijo,59,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Trabaja por su cuenta,De 36.000 ptas a 45.000 ptas mensuales,P.C.E.,Bastante,15.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,,Trabajador Independiente,6.0,1.0,3.0,6.0,7.0,3.0,4.0,6.0,56-65,1.0
2,Un concierto que tipifican los delitos y señala las penas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,5,Mujer,Casado,2 Hijos,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Alguna vez al mes,Está jubilado y antes estaba empleado,De 12.000 ptas a 18.000 ptas mensuales,P.S.O.E,Bastante,5.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,5,Área de Barcelona,Más de 1.000.000 habitantes,Peones y obreros sin cualificar,,3.0,,,,,,,,56-65,
3,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,Menos de 5 meses,No menciona,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,2,7,7,1,4,7,Poco,Falta de información política,Poco,,,,,,Menciona,Menciona,,,,,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Negativamente,Negativamente,Negativamente,Sin influencia,Positivamente,Positivamente,Sí,En contra,3,Hombre,Casado,4 hijos o más,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Bastante,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Obreros cualificados,,4.0,1.0,2.0,7.0,7.0,1.0,4.0,7.0,36-45,1.0
4,Un concierto que tipifican los delitos y señala las penas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hombre,Casado,Ninguno,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Está jubilado y antes estaba empleado,De 12.000 ptas a 18.000 ptas mensuales,P.S.O.E,Bastante,5.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Peones y obreros sin cualificar,,3.0,,,,,,,,56-65,
5,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Otros,Sólo una parte,Insuficiente,8 a 11 meses,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,7,7,7,4,3,7,Poco,Falta de información política,Mucho,,,,Menciona,Menciona,Menciona,Menciona,,,,,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sin influencia,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,3,Hombre,Casado,3 Hijos,63,Estudios de grado medio,Católico no practicante,Varias veces al año,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Mucha,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,,Profesional Liberal,4.0,2.0,7.0,7.0,7.0,4.0,3.0,7.0,56-65,1.0
6,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,N.S,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,,,,,,,,Mucho,,Algo,Menciona,,Menciona,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,,,,,,,Sí,A favor,4,Mujer,Casado,3 Hijos,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 12.000 ptas a 18.000 ptas mensuales,Otros,Bastante,15.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,Personal manual de servicios no cualificados,,3.0,,,,,,,,46-55,1.0
7,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,3,Mujer,Casado,2 Hijos,62,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está jubilado y antes estaba empleado,De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Bastante,5.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,"Capataces, encargados, contramaestres",,4.0,,,,,,,,56-65,
8,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Sólo una parte,Insuficiente,5 a 7 meses,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,1,1,2,1,5,5,7,Mucho,,Mucho,Menciona,,,,Menciona,,,,,,Ninguno,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,Negativamente,Negativamente,Negativamente,Positivamente,,Negativamente,Sí,En contra,2,Hombre,Soltero,Ninguno,22,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 12.000 ptas a 18.000 ptas mensuales,No votó,Bastante,15.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Obreros cualificados,,3.0,1.0,1.0,2.0,1.0,5.0,5.0,7.0,18-25,1.0
9,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,Menciona,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,3,Mujer,Casado,2 Hijos,62,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Está jubilado y antes estaba empleado,De 12.000 ptas a 18.000 ptas mensuales,Otros,Bastante,5.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Personal manual de servicios no cualificados,,3.0,,,,,,,,56-65,
10,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,Menciona,Menciona,Menciona,,,,,,,,,,,,,,,,,,,,,,,,2,Hombre,Soltero,Ninguno,65,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,P.C.E.,Bastante,5.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,,Trabajador Independiente,4.0,,,,,,,,56-65,
