P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Mujer,59,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Trabajador Independiente,6.0,P.C.E.,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,4.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,63,Estudios de grado medio,Católico no practicante,,Profesional Liberal,4.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Personal manual de servicios no cualificados,,3.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,22,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,3.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,67,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,9.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,"Vendedores, Agentes Comerciales, etc...",,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,68,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,,3.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,58,Estudios primarios completos. cultural general,Católico no practicante,"Director de empresa, directivos",,4.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,23,Universitario o técnicos de grado superior,Católico no practicante,,Industrial comercial,,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,35,Bachiller elemental,Católico practicante,,Industrial comercial,,Otros,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Mujer,57,Estudios primarios completos. cultural general,Católico practicante,,,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,22,Universitario o técnicos de grado superior,Católico no practicante,Funcionarios de nivel medio,,9.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,40,Estudios de formación profesional,Católico no practicante,"Vendedores, Agentes Comerciales, etc...",,,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,22,Estudios de formación profesional,Católico practicante,Funcionarios de nivel medio,,6.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Hombre,32,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,5.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,42,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,,,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,66,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Industrial comercial,4.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,29,Universitario o técnicos de grado superior,Católico no practicante,,Industrial comercial,7.0,U.C.D,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,73,Estudios primarios completos. cultural general,Católico practicante,,,5.0,U.C.D,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,52,Bachiller superior,Católico no practicante,Funcionarios de nivel medio,,6.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,23,Bachiller superior,Católico no practicante,Funcionarios de nivel medio,,8.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,61,Bachiller elemental,Católico no practicante,"Capataces, encargados, contramaestres",,,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,22,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,9.0,P.C.E.,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,19,Universitario o técnicos de grado superior,Indiferente,Funcionarios de nivel medio,,9.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,48,Bachiller superior,Católico practicante,Empleados a nivel superior,Industrial comercial,,,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Hombre,21,Universitario o técnicos de grado superior,Católico practicante,Funcionarios de nivel medio,,9.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,25,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,9.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Mujer,42,"Menos de estudios primarios, no sabe leer",Católico practicante,Empleados subalternos,,4.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,28,Bachiller superior,Católico no practicante,"Director de empresa, directivos",,6.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,61,Estudios de formación profesional,Católico practicante,Empleados subalternos,,5.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
